CustomerID,Gender,Amt_Purchased,Last_Purchase,Frequency,First_Purchase,ChildBks,YouthBks,CookBks,DIYBks,RefBks,ArtBks,GeogBks,ItalCook,ItalAtlas,ItalArt,Florence
25,1,297,14,2,22,0,1,1,0,0,0,0,0,0,0,0
29,0,128,8,2,10,0,0,0,0,0,0,0,0,0,0,0
46,1,138,22,7,56,2,1,2,0,1,0,1,1,0,0,0
47,1,228,2,1,2,0,0,0,0,0,0,0,0,0,0,0
51,1,257,10,1,10,0,0,0,0,0,0,0,0,0,0,0
60,1,145,6,2,12,0,0,0,0,0,0,0,0,0,0,0
61,1,190,16,1,16,0,0,0,0,0,0,1,0,0,0,0
79,1,187,14,1,14,1,0,0,0,0,0,0,0,0,0,0
81,1,252,10,1,10,0,0,0,0,0,0,0,0,0,0,0
90,1,240,6,3,20,0,0,1,0,0,0,0,0,0,0,0
95,1,275,2,4,20,0,0,1,0,0,0,0,0,0,0,0
100,0,320,2,3,18,0,0,0,0,0,1,0,0,0,0,1
103,1,268,4,1,4,0,0,0,0,0,0,0,0,0,0,1
112,0,135,14,1,14,1,0,0,0,0,0,0,0,0,0,0
116,1,213,4,2,10,0,0,0,0,0,0,0,0,0,0,0
121,1,256,14,9,58,2,0,3,0,1,1,2,1,1,1,0
125,1,226,14,6,28,2,1,2,0,0,1,0,1,0,0,0
126,0,81,22,1,22,0,0,1,0,0,0,0,0,0,0,0
127,1,330,10,10,38,0,0,2,2,1,1,0,0,0,0,0
145,1,393,12,11,50,3,0,2,0,0,2,3,0,0,0,1
164,1,213,2,1,2,0,0,0,0,0,0,0,0,0,0,0
169,1,243,10,1,10,0,0,0,0,0,0,0,0,0,0,0
193,1,63,4,1,4,0,0,0,0,0,0,0,0,0,0,0
201,1,57,2,1,2,0,0,0,0,0,0,0,0,0,0,0
202,0,260,34,11,74,0,2,3,5,0,1,0,0,0,0,0
208,1,32,26,2,32,1,0,0,0,0,0,1,0,0,0,0
214,0,177,24,1,24,0,0,0,0,0,1,0,0,0,0,0
224,1,33,12,1,12,0,0,0,0,0,0,0,0,0,0,0
225,1,172,16,1,16,0,0,0,0,1,0,0,0,0,0,0
256,1,133,32,2,36,1,0,1,0,0,0,0,1,0,0,0
257,1,194,28,2,30,1,0,1,0,0,0,0,1,0,0,0
263,0,32,14,1,14,0,0,0,0,0,1,0,0,0,0,0
265,1,352,12,11,66,4,1,3,1,0,1,0,2,0,1,0
266,1,319,12,8,32,2,1,1,1,0,0,1,0,0,0,0
267,1,242,10,5,32,0,0,2,0,1,1,0,0,0,0,0
275,1,78,6,2,10,0,0,0,0,0,0,0,0,0,0,0
277,1,223,16,7,44,2,1,1,1,0,2,0,1,0,1,0
282,1,285,14,11,52,2,0,3,4,0,1,1,1,0,0,0
288,0,312,36,10,58,2,2,2,1,1,1,1,1,1,1,0
330,0,211,6,11,44,3,2,2,0,0,2,1,2,0,1,0
333,1,280,30,2,34,0,1,1,0,0,0,0,1,0,0,0
340,1,320,28,3,38,0,0,2,0,0,1,0,0,0,0,0
345,1,234,4,2,10,0,0,0,0,0,0,0,0,0,0,0
347,1,105,8,7,40,1,1,1,0,2,0,1,0,0,0,0
353,0,317,10,3,28,0,0,0,0,0,1,1,0,0,0,0
354,0,49,22,3,32,0,0,1,1,0,1,0,0,0,0,0
356,0,189,16,9,68,1,0,1,3,1,1,2,0,0,0,0
391,1,143,14,9,38,2,2,1,1,1,2,0,0,0,0,0
397,1,254,8,2,12,0,0,0,0,0,0,0,0,0,0,0
401,1,355,16,5,28,1,0,2,0,1,1,0,0,0,0,0
405,0,43,24,2,26,1,0,0,0,0,1,0,0,0,0,0
409,1,233,30,8,54,0,1,2,2,0,2,1,0,0,0,0
411,1,210,2,3,20,0,1,0,0,0,0,1,0,0,0,0
436,0,310,22,5,32,1,1,0,1,0,2,0,0,0,0,0
438,1,378,10,7,50,0,1,1,1,0,2,1,0,0,0,0
439,0,305,6,9,40,2,1,1,1,0,2,1,0,0,0,0
440,1,458,10,12,44,1,0,3,1,1,2,0,2,1,1,1
444,1,235,14,1,14,0,0,0,0,0,1,0,0,0,0,0
450,1,148,22,3,30,1,0,2,0,0,0,0,0,0,0,0
453,1,154,10,7,46,0,1,0,1,0,1,3,0,0,0,1
477,0,123,12,2,16,1,0,0,0,0,0,0,0,0,0,1
