Id,donate_00,donate_01,donate_02,donate_03,donate_04,donate_05,donate_06,donate_07,donate_08,donate_09,donate_10,donate_11,last_donation
100001,1,0,0,0,0,0,0,0,0,0,0,0,0
100002,1,0,0,0,0,0,0,0,1,1,1,1,10
100003,1,0,0,0,0,0,0,0,0,0,0,0,0
100004,1,0,1,0,1,1,1,1,1,1,1,0,10
100005,1,0,1,1,1,0,1,1,1,1,1,1,10
100006,1,1,1,1,0,1,0,1,1,0,0,0,8
100007,1,1,0,1,0,1,0,0,0,0,0,0,5
100008,1,1,1,1,1,1,1,1,1,1,1,1,10
100009,1,1,1,1,1,1,0,1,1,1,1,1,10
100010,1,0,0,0,0,0,0,0,0,0,0,0,0
100011,1,0,0,0,0,0,0,0,0,0,0,0,0
100012,1,0,1,0,0,1,1,0,0,0,0,0,6
100013,1,1,0,1,0,0,0,0,0,0,0,0,3
100014,1,1,1,0,0,1,1,1,1,1,1,0,10
100015,1,0,0,0,0,0,0,0,0,0,0,0,0
100016,1,1,1,1,1,1,0,0,0,0,0,0,5
100017,1,1,0,0,1,1,0,0,0,0,0,0,5
100018,1,1,1,1,0,0,1,0,0,0,1,0,10
100019,1,1,0,1,1,0,1,1,0,1,1,1,10
100020,1,1,1,0,0,0,0,0,0,0,0,0,2
100021,1,1,1,0,1,1,0,1,0,0,0,0,7
100022,1,0,1,1,0,1,1,0,0,0,0,0,6
100023,1,0,0,0,0,0,0,0,0,0,0,0,0
100024,1,1,0,0,0,0,1,1,1,0,1,0,10
100025,1,0,0,0,0,0,0,0,0,0,0,0,0
100026,1,1,1,1,0,1,1,0,0,0,0,0,6
100027,1,0,0,0,0,0,0,0,0,0,0,0,0
100028,1,0,0,0,0,0,0,0,0,0,0,0,0
100029,1,0,0,0,0,0,0,0,0,0,0,0,0
100030,1,0,0,0,0,1,0,0,0,0,0,0,5
100031,1,0,0,0,0,0,0,0,0,0,0,0,0
100032,1,0,1,1,1,1,1,1,1,1,1,0,10
100033,1,1,1,0,1,1,0,1,1,1,1,1,10
100034,1,1,1,1,0,1,0,1,0,1,1,0,10
100035,1,1,0,0,0,1,0,1,0,1,0,0,9
100036,1,0,1,1,0,1,0,1,1,1,1,1,10
100037,1,0,0,0,0,0,0,0,0,0,0,0,0
100038,1,1,0,0,0,0,1,1,1,1,1,0,10
100039,1,0,0,0,0,1,1,1,1,1,1,1,10
100040,1,1,0,1,1,0,1,1,1,1,1,1,10
100041,1,1,1,1,1,1,1,1,1,0,0,0,8
100042,1,0,1,1,1,1,1,0,0,0,0,0,6
100043,1,0,1,0,0,0,0,0,0,0,1,0,10
100044,1,0,0,1,1,1,1,1,0,1,0,1,9
100045,1,0,1,0,1,1,1,1,1,1,1,0,10
100046,1,0,0,0,0,0,1,1,0,1,0,0,9
100047,1,1,0,0,1,0,0,0,0,0,0,0,4
100048,1,1,1,1,1,1,1,1,1,1,1,1,10
100049,1,1,1,0,0,1,1,1,1,1,0,0,9
100050,1,1,0,0,0,0,0,0,0,0,0,0,1
100051,1,1,0,0,0,1,0,0,1,1,1,1,10
100052,1,0,0,1,1,1,1,1,1,1,1,1,10
100053,1,0,0,0,0,0,0,0,0,0,0,0,0
100054,1,0,0,0,0,0,0,0,0,0,0,0,0
100055,1,0,0,0,0,0,0,0,0,0,0,0,0
100056,1,1,1,1,1,1,0,0,1,0,0,0,8
100057,1,1,0,0,1,0,0,1,0,0,0,0,7
100058,1,0,0,0,0,0,0,0,0,0,0,0,0
100059,1,0,0,0,0,0,0,0,0,0,0,0,0
100060,1,1,0,0,0,0,0,0,0,0,0,0,1
100061,1,1,1,0,1,1,1,1,1,0,0,0,8
100062,1,1,1,1,1,1,1,0,0,0,0,0,6
100063,1,1,1,0,0,0,0,1,0,0,0,0,7
100064,1,0,1,0,1,0,1,0,1,0,1,1,10
100065,1,0,1,0,0,1,0,0,0,1,1,0,10
100066,1,0,1,0,0,0,0,0,0,0,0,0,2
100067,1,0,0,1,1,0,0,0,0,0,0,0,4
100068,1,1,1,0,0,0,0,0,0,0,1,1,10
100069,1,1,1,1,1,1,1,1,1,1,1,1,10
100070,1,1,0,1,1,1,1,1,1,1,1,1,10
100071,1,1,1,1,0,0,0,0,0,0,0,0,3
100072,1,1,1,1,1,1,1,1,1,1,1,1,10
100073,1,0,0,0,0,1,0,0,0,0,0,0,5
100074,1,1,0,0,0,0,0,0,0,0,0,0,1
100075,1,0,1,1,1,1,0,0,1,1,1,0,10
100076,1,1,1,1,1,1,1,0,1,1,1,1,10
100077,1,1,1,0,1,1,0,1,1,1,1,0,10
100078,1,0,0,0,0,1,1,0,1,0,1,0,10
100079,1,1,1,1,1,1,1,1,1,1,1,0,10
100080,1,1,0,0,0,0,0,0,0,0,0,0,1
100081,1,1,1,0,0,0,1,1,0,0,0,0,7
100082,1,0,0,0,0,0,0,0,0,1,1,0,10
100083,1,1,1,1,1,1,1,1,0,0,0,0,7
100084,1,1,1,1,0,0,1,0,0,0,0,0,6
100085,1,1,1,1,0,0,0,0,0,0,0,0,3
100086,1,1,1,1,1,1,0,1,1,0,0,0,8
100087,1,1,1,0,1,0,1,1,0,0,0,0,7
100088,1,1,1,1,1,1,1,1,1,1,1,1,10
100089,1,0,0,0,0,0,0,0,0,0,0,0,0
100090,1,0,0,0,0,0,0,0,0,0,0,0,0
100091,1,1,1,1,1,1,1,1,1,1,1,0,10
100092,1,0,0,1,1,1,1,1,1,0,0,0,8
100093,1,0,0,0,0,0,1,1,1,1,0,1,9
100094,1,0,0,0,0,0,0,0,0,0,0,0,0
100095,1,0,0,0,0,0,0,0,0,0,0,0,0
100096,1,1,0,1,0,1,1,1,1,1,0,0,9
100097,1,1,0,1,1,1,0,0,0,1,1,1,10
100098,1,1,1,1,1,1,1,1,1,1,1,1,10
100099,1,0,0,0,0,0,0,0,0,0,0,0,0
100100,1,1,0,0,0,1,1,0,1,1,1,0,10
100101,1,1,1,1,0,0,0,1,1,1,1,1,10
100102,1,1,1,1,0,0,0,1,1,0,0,0,8
100103,1,0,0,0,0,1,0,0,0,0,0,0,5
100104,1,0,0,0,0,0,0,0,0,0,0,1,0
100105,1,0,0,0,0,0,0,0,0,0,0,0,0
100106,1,0,0,0,0,0,0,0,0,0,0,0,0
100107,1,1,0,0,0,0,0,0,0,0,0,0,1
100108,1,1,0,0,1,1,0,0,1,1,1,1,10
