custid,startlen,time,payleft,lagtest,cancelnow
137,6,1,5,4,0
137,6,2,4,4,0
137,6,3,3,4,0
137,6,4,2,4,0
137,6,5,1,4,0
137,6,6,0,4,0
137,6,7,5,0,0
137,6,8,4,4,0
137,6,9,3,4,0
137,6,10,2,4,0
137,6,11,1,4,0
138,6,1,5,4,0
138,6,2,4,4,0
138,6,3,3,4,0
138,6,4,2,4,0
138,6,5,1,4,0
138,6,6,0,4,0
138,6,7,5,4,0
138,6,8,4,4,0
138,6,9,3,4,0
138,6,10,2,4,0
138,6,11,1,4,0
139,12,1,11,4,0
139,12,2,10,4,0
139,12,3,9,4,0
139,12,4,8,4,0
139,12,5,7,4,0
139,12,6,6,4,0
139,12,7,5,4,0
139,12,8,4,4,0
139,12,9,3,4,0
139,12,10,2,4,0
139,12,11,1,4,0
140,6,1,5,4,0
140,6,2,4,4,0
140,6,3,3,4,0
140,6,4,2,4,0
140,6,5,1,4,0
140,6,6,0,4,0
140,6,7,5,4,0
140,6,8,4,4,0
140,6,9,3,4,0
140,6,10,2,0,0
140,6,11,1,4,0
141,12,1,11,4,0
141,12,2,10,4,0
141,12,3,9,4,0
141,12,4,8,4,0
141,12,5,7,4,0
141,12,6,6,4,0
141,12,7,5,4,0
141,12,8,4,4,0
141,12,9,3,4,0
141,12,10,2,4,0
141,12,11,1,4,0
142,6,1,5,4,0
142,6,2,4,4,0
142,6,3,3,4,0
142,6,4,2,4,0
142,6,5,1,4,0
142,6,6,0,4,0
142,6,7,5,4,0
142,6,8,4,4,0
142,6,9,3,4,0
142,6,10,2,4,0
142,6,11,1,4,0
143,6,1,5,4,0
143,6,2,4,4,0
143,6,3,3,4,0
143,6,4,2,4,0
143,6,5,1,4,0
143,6,6,0,0,1
144,12,1,11,4,0
144,12,2,10,4,0
144,12,3,9,4,0
144,12,4,8,4,0
144,12,5,7,4,0
144,12,6,6,2,0
144,12,7,5,2,0
144,12,8,4,2,0
144,12,9,3,2,0
144,12,10,2,2,0
144,12,11,1,2,0
145,6,1,5,4,0
145,6,2,4,4,0
145,6,3,3,0,0
145,6,4,2,0,0
145,6,5,1,0,0
145,6,6,0,0,0
145,6,7,5,0,0
145,6,8,4,0,0
145,6,9,3,0,0
145,6,10,2,0,0
145,6,11,1,0,0
149,1,1,0,4,0
149,1,2,0,4,0
149,1,3,0,4,0
149,1,4,0,4,0
149,1,5,0,4,0
149,1,6,0,4,0
149,1,7,0,4,0
149,1,8,0,4,0
149,1,9,0,4,0
149,1,10,0,4,0
149,1,11,0,4,0
